UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
149329,"R",18,"R",18,"R",100,"R",33,"Z",0,"Z",0,"R",33,"R",29,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
149365,"R",179,"R",2068,"R",9,"R",172,"R",1,"R",0,"R",171,"R",122,"R",71,"R",139,"R",11,"R",0,"R",128,"R",69,"R",54,"R",17
149505,"R",158,"R",282,"R",56,"R",125,"R",0,"R",0,"R",125,"R",99,"R",79,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
149514,"R",8,"R",38,"R",21,"R",86,"R",0,"R",0,"R",86,"R",4,"R",5,"R",8,"R",0,"R",0,"R",8,"R",5,"R",63,"R",9
149532,"R",831,"R",3920,"R",21,"R",1003,"R",1,"R",0,"R",1002,"R",691,"R",69,"R",457,"R",9,"R",0,"R",448,"R",207,"R",46,"R",20
149550,"A",,"A",,"A",,"R",24,"Z",0,"Z",0,"R",24,"R",16,"R",67,"R",3,"Z",0,"Z",0,"R",3,"R",2,"R",67,"R",10
149639,"R",17,"R",32,"R",53,"R",12,"R",0,"R",0,"R",12,"R",8,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",4
149727,"R",1011,"R",3735,"R",27,"R",937,"R",0,"R",0,"R",937,"R",678,"R",72,"R",476,"R",2,"R",0,"R",474,"R",242,"R",51,"R",21
149763,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
149772,"R",951,"R",1642,"R",58,"R",1062,"R",3,"R",0,"R",1059,"R",622,"R",59,"R",12,"R",1,"R",0,"R",11,"R",2,"R",18,"R",14
